Label,FinalPerformance
resnet50/PUM/layer_29_type_0/Traces/trace_34,67763292.0
resnet50/PUM/layer_29_type_0/Traces/trace_10,89705448.0
resnet50/PUM/layer_29_type_0/Traces/trace_15,271051872.0
resnet50/PUM/layer_29_type_0/Traces/trace_14,45102288.0
resnet50/PUM/layer_29_type_0/Traces/trace_24,90560232.0
resnet50/PUM/layer_29_type_0/Traces/trace_5,22550528.0
resnet50/PUM/layer_29_type_0/Traces/trace_0,540151296.0
resnet50/PUM/layer_29_type_0/Traces/trace_39,313940844.0
resnet50/PUM/layer_29_type_0/Traces/trace_21,45294284.0
resnet50/PUM/layer_29_type_0/Traces/trace_16,134053776.0
resnet50/PUM/layer_29_type_0/Traces/trace_32,135523872.0
resnet50/PUM/layer_29_type_0/Traces/trace_8,712343878.0
resnet50/PUM/layer_29_type_0/Traces/trace_27,50885290.0
resnet50/PUM/layer_29_type_0/Traces/trace_37,44373672.0
resnet50/PUM/layer_29_type_0/Traces/trace_19,178096922.0
resnet50/PUM/layer_29_type_0/Traces/trace_30,270081084.0
resnet50/PUM/layer_29_type_0/Traces/trace_26,237181224.0
resnet50/PUM/layer_29_type_0/Traces/trace_7,33984630.0
resnet50/PUM/layer_29_type_0/Traces/trace_3,22186836.0
resnet50/PUM/layer_29_type_0/Traces/trace_1,135041664.0
resnet50/PUM/layer_29_type_0/Traces/trace_12,33519120.0
resnet50/PUM/layer_29_type_0/Traces/trace_25,43391194.0
resnet50/PUM/layer_29_type_0/Traces/trace_6,59088302.0
resnet50/PUM/layer_29_type_0/Traces/trace_36,33763800.0
resnet50/PUM/layer_29_type_0/Traces/trace_29,38306780.0
resnet50/PUM/layer_29_type_0/Traces/trace_17,33761436.0
resnet50/PUM/layer_29_type_0/Traces/trace_18,45220392.0
resnet50/PUM/layer_29_type_0/Traces/trace_9,712336432.0
resnet50/PUM/layer_29_type_0/Traces/trace_11,938543242.0
resnet50/PUM/layer_29_type_0/Traces/trace_31,45298092.0
resnet50/PUM/layer_29_type_0/Traces/trace_33,88723362.0
resnet50/PUM/layer_29_type_0/Traces/trace_28,135526584.0
resnet50/PUM/layer_29_type_0/Traces/trace_22,67898136.0
resnet50/PUM/layer_29_type_0/Traces/trace_2,67029936.0
resnet50/PUM/layer_29_type_0/Traces/trace_13,313983180.0
resnet50/PUM/layer_29_type_0/Traces/trace_23,268148230.0
resnet50/PUM/layer_29_type_0/Traces/trace_38,472632692.0
resnet50/PUM/layer_29_type_0/Traces/trace_4,39476850.0
resnet50/PUM/layer_29_type_0/Traces/trace_20,472606946.0
resnet50/PUM/layer_29_type_0/Traces/trace_35,621041484.0
resnet50/PUM/layer_37_type_0/Traces/trace_34,354966248.0
resnet50/PUM/layer_37_type_0/Traces/trace_10,313983180.0
resnet50/PUM/layer_37_type_0/Traces/trace_15,157841152.0
resnet50/PUM/layer_37_type_0/Traces/trace_14,303660399.0
resnet50/PUM/layer_37_type_0/Traces/trace_24,51255088.0
resnet50/PUM/layer_37_type_0/Traces/trace_5,358800848.0
resnet50/PUM/layer_37_type_0/Traces/trace_0,22650950.0
resnet50/PUM/layer_37_type_0/Traces/trace_39,38835636.0
resnet50/PUM/layer_37_type_0/Traces/trace_21,51677696.0
resnet50/PUM/layer_37_type_0/Traces/trace_16,38829854.0
resnet50/PUM/layer_37_type_0/Traces/trace_32,45097472.0
resnet50/PUM/layer_37_type_0/Traces/trace_8,25875472.0
resnet50/PUM/layer_37_type_0/Traces/trace_27,22433152.0
resnet50/PUM/layer_37_type_0/Traces/trace_37,37970982.0
resnet50/PUM/layer_37_type_0/Traces/trace_19,12947972.0
resnet50/PUM/layer_37_type_0/Traces/trace_30,22616748.0
resnet50/PUM/layer_37_type_0/Traces/trace_26,12956330.0
resnet50/PUM/layer_37_type_0/Traces/trace_7,22671061.0
resnet50/PUM/layer_37_type_0/Traces/trace_3,90559112.0
resnet50/PUM/layer_37_type_0/Traces/trace_1,22646666.0
resnet50/PUM/layer_37_type_0/Traces/trace_12,38821524.0
resnet50/PUM/layer_37_type_0/Traces/trace_25,90187104.0
resnet50/PUM/layer_37_type_0/Traces/trace_6,78921948.0
resnet50/PUM/layer_37_type_0/Traces/trace_36,45217704.0
resnet50/PUM/layer_37_type_0/Traces/trace_29,11093418.0
resnet50/PUM/layer_37_type_0/Traces/trace_17,22616244.0
resnet50/PUM/layer_37_type_0/Traces/trace_18,90559112.0
resnet50/PUM/layer_37_type_0/Traces/trace_9,358778000.0
resnet50/PUM/layer_37_type_0/Traces/trace_11,22664166.0
resnet50/PUM/layer_37_type_0/Traces/trace_31,44363802.0
resnet50/PUM/layer_37_type_0/Traces/trace_33,22551144.0
resnet50/PUM/layer_37_type_0/Traces/trace_28,18995438.0
resnet50/PUM/layer_37_type_0/Traces/trace_22,90433280.0
resnet50/PUM/layer_37_type_0/Traces/trace_2,12942856.0
resnet50/PUM/layer_37_type_0/Traces/trace_13,25769200.0
resnet50/PUM/layer_37_type_0/Traces/trace_23,89701416.0
resnet50/PUM/layer_37_type_0/Traces/trace_38,38835636.0
resnet50/PUM/layer_37_type_0/Traces/trace_4,19744893.0
resnet50/PUM/layer_37_type_0/Traces/trace_20,21703290.0
resnet50/PUM/layer_37_type_0/Traces/trace_35,22620780.0
resnet50/PUM/layer_13_type_0/Traces/trace_34,90200320.0
resnet50/PUM/layer_13_type_0/Traces/trace_10,86767338.0
resnet50/PUM/layer_13_type_0/Traces/trace_15,44363536.0
resnet50/PUM/layer_13_type_0/Traces/trace_14,78504468.0
resnet50/PUM/layer_13_type_0/Traces/trace_24,89710544.0
resnet50/PUM/layer_13_type_0/Traces/trace_5,358800848.0
resnet50/PUM/layer_13_type_0/Traces/trace_0,22573656.0
resnet50/PUM/layer_13_type_0/Traces/trace_39,313939864.0
resnet50/PUM/layer_13_type_0/Traces/trace_21,51791888.0
resnet50/PUM/layer_13_type_0/Traces/trace_16,347212292.0
resnet50/PUM/layer_13_type_0/Traces/trace_32,354857048.0
resnet50/PUM/layer_13_type_0/Traces/trace_8,45106320.0
resnet50/PUM/layer_13_type_0/Traces/trace_27,24800988.0
resnet50/PUM/layer_13_type_0/Traces/trace_37,180388320.0
resnet50/PUM/layer_13_type_0/Traces/trace_19,103076800.0
resnet50/PUM/layer_13_type_0/Traces/trace_30,358800848.0
resnet50/PUM/layer_13_type_0/Traces/trace_26,354966248.0
resnet50/PUM/layer_13_type_0/Traces/trace_7,45301900.0
resnet50/PUM/layer_13_type_0/Traces/trace_3,45284652.0
resnet50/PUM/layer_13_type_0/Traces/trace_1,75920796.0
resnet50/PUM/layer_13_type_0/Traces/trace_12,25630808.0
resnet50/PUM/layer_13_type_0/Traces/trace_25,25837952.0
resnet50/PUM/layer_13_type_0/Traces/trace_6,25769728.0
resnet50/PUM/layer_13_type_0/Traces/trace_36,179390736.0
resnet50/PUM/layer_13_type_0/Traces/trace_29,45102288.0
resnet50/PUM/layer_13_type_0/Traces/trace_17,39472930.0
resnet50/PUM/layer_13_type_0/Traces/trace_18,173513816.0
resnet50/PUM/layer_13_type_0/Traces/trace_9,22427160.0
resnet50/PUM/layer_13_type_0/Traces/trace_11,173620538.0
resnet50/PUM/layer_13_type_0/Traces/trace_31,43402884.0
resnet50/PUM/layer_13_type_0/Traces/trace_33,45100160.0
resnet50/PUM/layer_13_type_0/Traces/trace_28,177440424.0
resnet50/PUM/layer_13_type_0/Traces/trace_22,51261616.0
resnet50/PUM/layer_13_type_0/Traces/trace_2,155275414.0
resnet50/PUM/layer_13_type_0/Traces/trace_13,11216576.0
resnet50/PUM/layer_13_type_0/Traces/trace_23,88723152.0
resnet50/PUM/layer_13_type_0/Traces/trace_38,45106320.0
resnet50/PUM/layer_13_type_0/Traces/trace_4,88742388.0
resnet50/PUM/layer_13_type_0/Traces/trace_20,313947704.0
resnet50/PUM/layer_13_type_0/Traces/trace_35,45097752.0
resnet50/PUM/layer_39_type_0/Traces/trace_34,25768416.0
resnet50/PUM/layer_39_type_0/Traces/trace_10,21695898.0
resnet50/PUM/layer_39_type_0/Traces/trace_15,86767093.0
resnet50/PUM/layer_39_type_0/Traces/trace_14,88742388.0
resnet50/PUM/layer_39_type_0/Traces/trace_24,90436864.0
resnet50/PUM/layer_39_type_0/Traces/trace_5,45097080.0
resnet50/PUM/layer_39_type_0/Traces/trace_0,621012574.0
resnet50/PUM/layer_39_type_0/Traces/trace_39,180370960.0
resnet50/PUM/layer_39_type_0/Traces/trace_21,43390893.0
resnet50/PUM/layer_39_type_0/Traces/trace_16,22611652.0
resnet50/PUM/layer_39_type_0/Traces/trace_32,45102288.0
resnet50/PUM/layer_39_type_0/Traces/trace_8,25840992.0
resnet50/PUM/layer_39_type_0/Traces/trace_27,44364404.0
